Age,Annual_Income,Loan_Amount,Credit_Score,Employment_Years,Debt_to_Income_Ratio,Loan_Term_Months,Num_Credit_Lines,Home_Ownership,Loan_Purpose,Marital_Status,Education,Has_CoSigner,Previous_Defaults,Default
22,74163.65,7481.54,667,4.2,0.4,12,7,Own,Education,Single,High School,0,0,0
31,83745.71,14532.44,649,11.6,0.326,24,2,Rent,Business,Married,Bachelor,1,1,0
34,17374.46,18316.7,604,11.6,0.281,36,3,Own,Home Improvement,Single,High School,0,3,1
52,48483.68,15471.89,668,14.4,0.116,48,2,Mortgage,Medical,Single,PhD,0,0,0
44,85899.28,18403.19,743,,0.235,36,3,Mortgage,Education,Single,Bachelor,0,1,0
21,44652.27,18099.21,685,0.0,0.242,36,6,Mortgage,Education,Married,Master,0,0,0
43,70582.1,3864.83,639,13.6,0.268,12,6,Own,Business,Married,Bachelor,0,0,0
35,58429.88,20864.6,733,0.7,0.187,60,1,Mortgage,Home Improvement,Single,High School,0,0,1
31,58152.85,8352.28,563,0.2,0.331,48,6,Mortgage,Business,Married,Master,0,1,0
47,42802.1,6203.77,629,0.3,0.562,36,4,Mortgage,Debt Consolidation,Married,High School,0,1,1
52,26681.07,6166.48,631,2.1,0.181,60,7,Mortgage,Business,Single,High School,1,1,0
51,27979.71,18096.6,538,4.8,0.686,12,2,Rent,Business,Married,High School,0,0,1
29,69889.89,11432.3,612,2.6,0.392,36,3,Rent,Education,Single,Bachelor,1,1,0
36,49500.06,4115.94,463,0.1,0.154,12,6,Own,Auto,Single,Bachelor,1,1,0
43,45740.7,18669.13,822,3.2,0.135,36,5,Own,Auto,Married,High School,1,1,1
51,39658.28,4876.95,565,2.9,0.547,24,4,Rent,Medical,Married,Bachelor,0,0,0
34,42083.27,14733.44,792,7.1,0.074,36,3,Mortgage,Medical,Married,PhD,0,0,0
37,82739.79,15787.11,653,1.6,0.225,60,4,Rent,Medical,Married,Master,0,1,0
26,41455.59,24832.39,700,1.2,0.227,36,6,Mortgage,Home Improvement,Single,High School,1,0,0
25,25071.01,46498.69,606,1.5,0.266,36,6,Rent,Medical,Single,Bachelor,1,0,0
49,71098.81,5139.58,668,1.8,0.397,48,7,Own,Medical,Divorced,Bachelor,0,1,0
56,44247.83,12877.9,708,4.6,0.155,48,4,Rent,Auto,Single,High School,0,0,0
39,49796.4,11010.07,709,3.2,0.215,60,6,Rent,Business,Married,Bachelor,0,0,0
52,109511.97,18099.23,719,2.1,0.325,36,4,Mortgage,Education,Divorced,Bachelor,1,0,0
44,48519.44,15536.82,616,2.3,0.323,48,4,Mortgage,Medical,Single,High School,0,0,0
32,56646.86,10438.1,606,2.3,0.481,36,2,Mortgage,Medical,Divorced,Bachelor,0,1,0
44,27188.2,9812.07,506,18.0,0.101,24,2,Rent,Business,Married,Master,0,1,0
58,43921.77,6114.9,697,1.3,0.385,36,11,Rent,Auto,Divorced,Bachelor,0,0,1
39,66487.09,26675.56,747,8.5,0.238,36,2,Mortgage,Education,Single,Master,0,1,0
58,22523.47,18424.62,795,6.2,0.336,36,4,Rent,Auto,Married,Bachelor,1,0,0
21,54199.26,25398.31,677,0.0,0.178,48,5,Rent,Business,Divorced,Master,0,0,0
49,51554.54,10750.66,581,24.9,0.412,36,4,Own,Auto,Single,Master,1,0,0
41,50043.29,8435.59,497,7.1,0.161,60,3,Rent,Education,Single,Bachelor,1,0,0
36,82337.3,6280.34,743,5.7,0.382,60,5,Mortgage,Auto,Single,High School,1,0,0
41,57943.24,17175.55,488,2.6,0.365,36,3,Mortgage,Debt Consolidation,Divorced,High School,0,0,0
21,102645.43,6452.0,619,4.1,0.205,36,7,Rent,Home Improvement,Single,PhD,1,1,0
37,29828.07,48730.68,629,1.5,0.635,36,2,Mortgage,Business,Single,Bachelor,1,0,1
44,52468.19,5348.92,643,0.2,0.372,36,4,Own,Home Improvement,Married,Bachelor,1,1,0
57,51135.46,16180.5,653,9.0,0.155,60,7,Rent,Business,Married,Bachelor,0,0,0
33,28720.68,40006.54,662,11.3,0.297,12,6,Mortgage,Debt Consolidation,Married,Bachelor,0,1,0
30,79074.64,20320.04,432,0.9,0.158,36,2,Own,Education,Married,Bachelor,0,0,0
33,156738.9,15107.88,651,7.7,0.356,24,5,Own,Business,Married,Bachelor,0,0,0
50,48605.74,6782.23,449,6.8,0.415,48,4,Mortgage,Business,Married,Master,1,0,0
43,63102.18,5078.45,715,1.0,0.147,24,7,Own,Business,Divorced,High School,0,0,0
33,51136.78,22903.27,600,2.7,0.06,60,6,Mortgage,Debt Consolidation,Single,Master,0,0,0
46,34310.53,38342.07,455,2.7,0.047,36,6,Mortgage,Education,Divorced,Bachelor,0,0,0
41,19724.56,9826.17,576,7.1,0.528,60,4,Rent,Auto,Single,High School,0,2,0
51,34444.8,6018.88,598,9.1,0.304,60,4,Mortgage,Medical,Single,High School,0,0,0
31,24441.09,2390.56,757,0.5,0.3,48,6,Mortgage,Education,Married,Master,0,0,1
36,114926.84,6724.18,667,4.1,0.222,48,8,Own,Home Improvement,Divorced,High School,0,0,0
35,46279.07,12338.01,681,7.2,0.164,24,0,Own,Home Improvement,Single,Bachelor,1,1,0
22,41234.9,40920.49,756,7.7,0.068,60,2,Rent,Home Improvement,Single,High School,0,0,0
43,76464.12,21401.01,641,0.8,0.55,48,4,Own,Medical,Married,High School,0,0,0
43,27976.62,16540.38,717,3.7,0.118,24,1,Mortgage,Auto,Divorced,Master,0,0,0
40,33408.58,10096.22,711,9.7,0.341,36,1,Rent,Debt Consolidation,Single,Bachelor,0,0,0
37,50718.0,8882.02,534,1.9,0.346,12,3,Rent,Business,Single,Master,0,0,0
23,81992.62,35737.41,782,2.8,0.21,48,4,Own,Business,Married,Bachelor,0,0,0
34,62997.01,15375.29,522,8.2,0.143,24,1,Own,Auto,Single,Bachelor,0,0,0
35,55501.35,3066.15,732,0.5,0.326,48,5,Own,Debt Consolidation,Single,Bachelor,0,0,0
30,50973.38,8337.53,513,9.8,0.178,48,3,Own,Education,Divorced,Bachelor,0,0,0
38,59881.2,7326.47,704,1.9,0.12,36,5,Mortgage,Business,Married,PhD,0,0,0
44,54221.16,9114.44,817,0.0,0.142,60,5,Mortgage,Education,Single,Bachelor,0,0,0
62,29290.36,19811.89,630,1.3,0.201,48,5,Rent,Debt Consolidation,Divorced,Bachelor,0,1,0
42,50163.33,12391.78,626,0.5,0.07,36,5,Mortgage,Auto,Married,Bachelor,1,0,0
43,28657.08,12659.89,704,0.5,0.034,60,5,Mortgage,Auto,Married,Bachelor,1,0,0
39,51049.0,33504.37,620,5.9,0.052,60,3,Own,Auto,Married,Bachelor,0,0,0
21,38548.64,8204.82,813,1.2,0.266,48,5,Rent,Business,Divorced,Master,0,0,0
39,174501.88,49263.55,667,13.6,0.033,24,3,Rent,Debt Consolidation,Divorced,Master,0,1,0
40,48052.66,8350.57,621,3.6,0.038,36,3,Mortgage,Home Improvement,Single,PhD,0,1,0
69,24291.46,14220.48,601,3.1,0.467,60,3,Own,Home Improvement,Single,PhD,0,0,0
37,45839.89,10972.61,566,2.8,0.14,48,3,Rent,Business,Married,High School,0,1,0
43,63556.17,14565.24,593,5.9,0.264,36,5,Rent,Medical,Single,Bachelor,0,0,0
39,113174.03,18237.12,618,3.0,0.436,60,5,Own,Medical,Married,Master,1,2,1
25,36507.53,18100.32,606,0.7,0.161,12,3,Mortgage,Auto,Single,PhD,0,0,0
53,22220.84,7885.79,590,10.6,0.429,12,3,Own,Debt Consolidation,Divorced,High School,0,0,0
49,73748.69,6087.3,838,2.8,0.267,60,3,Own,Home Improvement,Single,Master,0,0,0
49,24580.3,77050.8,557,0.4,0.339,12,4,Own,Auto,Single,High School,1,2,1
29,39415.81,9520.58,663,3.8,0.501,36,5,Rent,Education,Single,Bachelor,0,1,1
56,43096.19,21795.28,703,5.2,0.185,60,5,Mortgage,Education,Single,Bachelor,0,1,0
23,47343.43,4335.76,706,1.6,0.367,48,6,Mortgage,Business,Married,Master,0,0,0
47,,10984.84,644,8.1,0.016,48,4,Own,Medical,Married,Master,0,0,0
66,34828.21,12221.6,628,5.5,0.036,48,2,Own,Business,Married,Master,0,0,1
28,42750.47,18601.0,690,5.3,0.357,36,6,Rent,Debt Consolidation,Single,Master,1,0,0
33,48672.27,1986.8,673,2.7,0.199,36,5,Rent,Debt Consolidation,Married,Bachelor,1,0,0
41,52828.12,15007.4,626,16.3,0.276,48,2,Mortgage,Debt Consolidation,Single,High School,1,2,0
33,51478.19,5974.05,509,1.6,0.116,36,0,Own,Medical,Married,High School,1,0,0
21,60961.81,16764.89,607,4.3,0.347,48,6,Rent,Medical,Single,High School,0,1,0
40,74751.14,6467.66,546,1.8,0.515,36,2,Rent,Auto,Married,Master,0,1,1
27,59654.03,7340.5,589,6.8,0.238,12,4,Mortgage,Business,Married,Bachelor,0,0,0
45,61500.02,11030.95,652,0.2,0.28,24,3,Own,Home Improvement,Single,PhD,1,1,0
28,22223.12,6395.62,682,0.2,0.278,36,3,Rent,Home Improvement,Divorced,Master,0,0,0
58,50267.49,9577.06,810,8.3,0.134,60,4,Own,Home Improvement,Single,PhD,0,0,0
30,62302.31,5794.34,601,2.8,0.207,36,3,Own,Medical,Divorced,Master,1,1,1
36,,3702.56,719,2.1,0.067,12,5,Mortgage,Auto,Single,Bachelor,1,1,0
49,34676.75,27243.49,677,4.7,0.627,24,4,Own,Debt Consolidation,Single,High School,1,0,0
25,35259.15,5392.51,766,6.1,0.368,36,5,Rent,Debt Consolidation,Divorced,High School,0,0,0
42,,11789.01,701,1.1,0.349,24,11,Rent,Auto,Single,Bachelor,0,1,0
55,64100.47,22629.82,559,1.0,0.283,12,2,Mortgage,Medical,Married,High School,1,1,0
21,82202.46,8686.62,494,,0.667,48,4,Rent,Home Improvement,Married,Bachelor,0,0,0
42,39985.41,7497.94,678,4.5,0.026,48,4,Mortgage,Business,Divorced,Bachelor,0,0,0
43,77186.6,15652.2,602,2.5,0.09,60,3,Mortgage,Education,Divorced,High School,0,0,0
49,52142.72,29218.39,561,8.1,0.448,48,6,Mortgage,Education,Married,Master,0,1,0
25,46067.23,5892.76,535,3.7,0.486,36,5,Mortgage,Education,Married,Master,0,0,0
24,44104.09,12026.85,664,1.4,0.235,48,2,Own,Medical,Single,High School,0,0,1
46,71204.1,3972.91,785,1.2,0.573,36,6,Rent,Home Improvement,Single,High School,0,0,0
43,57687.1,10145.23,613,2.5,0.341,12,7,Mortgage,Debt Consolidation,Married,High School,0,0,1
43,152957.09,13683.46,703,9.8,0.689,36,8,Rent,Auto,Single,Bachelor,0,1,0
44,32012.69,7344.91,640,0.3,0.44,12,2,Rent,Auto,Single,Master,0,0,0
31,63516.24,9702.18,533,1.2,0.328,12,4,Rent,Home Improvement,Single,Bachelor,0,0,0
42,37624.08,4985.26,716,11.2,0.219,12,6,Mortgage,Medical,Single,Bachelor,1,1,0
43,31740.75,14100.35,551,0.6,0.423,60,5,Rent,Home Improvement,Married,High School,0,0,0
31,48755.17,27972.75,651,5.0,0.094,48,4,Own,Medical,Single,Bachelor,1,0,0
62,52505.66,6198.11,619,1.2,0.164,36,7,Rent,Debt Consolidation,Divorced,High School,0,1,1
45,210888.91,8639.76,730,4.7,0.239,24,2,Rent,Auto,Single,Master,0,0,0
25,44708.87,18992.18,554,2.4,0.5,12,5,Mortgage,Education,Single,High School,0,0,0
47,27858.98,31209.05,685,0.5,0.362,36,4,Mortgage,Medical,Single,High School,0,3,1
28,56190.63,4697.41,574,4.4,0.421,48,3,Mortgage,Debt Consolidation,Married,Bachelor,0,0,0
49,17373.13,11870.96,604,5.7,0.428,48,8,Own,Business,Married,High School,0,0,0
53,46817.93,16288.12,322,5.7,0.485,12,3,Mortgage,Home Improvement,Single,Bachelor,1,0,0
30,49415.17,12438.61,838,5.1,0.292,36,4,Rent,Medical,Single,Master,1,0,0
51,72933.27,2359.6,699,3.5,0.371,60,5,Rent,Home Improvement,Married,Master,0,0,0
44,79762.69,18972.83,580,3.7,0.343,24,5,Mortgage,Home Improvement,Married,PhD,1,0,0
49,38109.36,38697.7,548,5.0,0.491,36,8,Rent,Auto,Married,Bachelor,1,0,1
62,45464.77,14496.51,605,5.9,0.239,24,6,Mortgage,Education,Married,Bachelor,0,1,0
37,33421.0,6491.35,714,5.3,0.172,24,6,Mortgage,Home Improvement,Married,High School,0,0,0
30,27888.47,9328.33,479,4.4,0.058,48,4,Rent,Business,Married,Master,0,1,0
29,57236.52,46117.1,637,0.8,0.242,48,3,Mortgage,Auto,Married,Bachelor,1,0,0
30,25931.33,25259.91,809,1.2,0.172,36,4,Rent,Home Improvement,Divorced,Bachelor,0,1,0
39,39842.38,20910.75,547,1.5,0.282,36,5,Rent,Business,Married,Bachelor,1,0,0
44,29804.45,17145.46,657,12.6,0.072,48,1,Rent,Medical,Single,Bachelor,1,1,0
43,64527.17,8410.23,848,7.1,0.064,12,4,Own,Debt Consolidation,Divorced,PhD,0,1,0
49,120657.96,11609.75,706,4.0,0.119,24,2,Mortgage,Business,Married,High School,0,0,0
40,25570.79,12650.53,661,1.5,0.606,60,5,Mortgage,Medical,Married,Bachelor,0,0,0
57,19408.97,19627.8,695,0.6,0.214,48,5,Mortgage,Medical,Married,Bachelor,0,0,0
36,46053.39,38416.53,613,11.5,0.281,48,3,Rent,Medical,Married,High School,1,0,0
70,49407.07,29226.66,766,11.2,0.479,48,7,Rent,Debt Consolidation,Married,High School,0,0,0
47,54684.18,4946.48,614,0.6,0.297,24,3,Mortgage,Home Improvement,Married,Bachelor,0,0,0
29,39215.99,15627.64,473,8.0,0.293,60,2,Mortgage,Home Improvement,Divorced,Bachelor,0,0,0
27,44341.68,22375.78,614,3.0,0.126,36,1,Rent,Home Improvement,Married,Bachelor,1,0,1
45,58909.36,20603.21,562,2.0,0.536,24,4,Rent,Education,Single,Master,1,0,0
37,82472.11,8600.16,624,6.7,0.165,36,5,Rent,Business,Single,High School,1,0,0
48,18443.65,100000.0,626,,0.158,12,1,Rent,Debt Consolidation,Married,Bachelor,0,0,0
45,40763.01,5464.57,757,7.6,0.34,24,4,Rent,Auto,Married,Bachelor,1,0,0
39,54551.71,6258.95,712,0.4,0.411,24,4,Own,Debt Consolidation,Divorced,Bachelor,0,0,0
29,30977.36,15733.01,673,,0.225,24,6,Rent,Education,Single,High School,0,0,0
21,116492.81,58792.06,649,,0.128,12,1,Mortgage,Auto,Married,High School,0,0,0
34,35678.2,7440.28,554,2.0,0.168,24,6,Mortgage,Medical,Single,High School,0,1,0
50,48019.08,11091.34,453,3.5,0.239,24,6,Rent,Home Improvement,Married,Bachelor,0,1,0
42,64732.01,28398.9,660,1.7,0.334,12,4,Mortgage,Auto,Married,Master,0,0,1
25,36474.1,13193.72,721,2.9,0.16,24,5,Own,Home Improvement,Divorced,Bachelor,0,0,0
42,19471.62,10570.02,640,2.3,0.836,24,8,Mortgage,Debt Consolidation,Married,Master,0,0,0
44,39563.91,19849.68,601,6.6,0.58,36,5,Rent,Home Improvement,Married,High School,0,0,0
29,82020.15,16167.57,691,4.6,0.257,36,3,Mortgage,Education,Single,Bachelor,0,0,0
41,41421.38,27482.57,642,5.3,0.126,36,4,Rent,Home Improvement,Married,High School,1,0,0
40,32105.51,32992.26,801,1.2,0.108,24,3,Rent,Education,Married,PhD,0,1,1
26,77873.12,16562.6,760,2.0,0.578,60,3,Rent,Business,Single,High School,0,0,0
44,41548.33,16386.5,736,0.1,0.371,36,6,Mortgage,Auto,Married,Master,0,0,0
46,37983.97,15519.89,718,0.6,0.07,48,5,Mortgage,Business,Single,High School,1,1,0
52,52824.38,18814.66,533,1.5,0.409,48,4,Mortgage,Debt Consolidation,Single,Bachelor,0,1,1
52,72068.7,13885.76,709,0.3,0.106,24,1,Mortgage,Education,Single,Master,0,0,0
23,161273.47,13354.04,683,4.6,0.151,36,7,Own,Education,Married,Bachelor,0,0,0
28,74133.15,30873.05,704,31.4,0.394,48,0,Own,Medical,Single,Bachelor,1,0,0
46,,38610.57,694,0.5,0.222,36,3,Rent,Medical,Married,High School,0,0,0
46,38063.72,4650.42,690,8.6,0.549,48,2,Mortgage,Home Improvement,Single,Bachelor,0,0,1
46,29350.53,13453.77,850,0.6,0.435,48,3,Own,Medical,Single,Bachelor,0,0,0
70,50572.62,8249.55,643,5.5,0.301,36,2,Mortgage,Business,Single,Bachelor,0,1,0
46,,10746.33,734,5.2,0.067,12,1,Rent,Education,Single,High School,0,1,0
53,28588.04,17707.82,607,11.7,0.22,36,5,Mortgage,Education,Single,High School,1,0,0
51,44907.17,21345.73,721,0.6,0.138,24,7,Mortgage,Home Improvement,Single,PhD,0,0,0
47,59853.72,12351.24,734,1.9,0.215,24,1,Rent,Home Improvement,Single,PhD,0,1,0
36,58700.1,3500.5,682,0.5,0.414,36,2,Own,Auto,Married,Master,1,0,0
49,63079.05,6798.57,800,2.6,0.283,24,4,Mortgage,Home Improvement,Single,Bachelor,1,1,0
30,56697.33,25022.98,570,12.1,0.183,60,6,Rent,Medical,Divorced,PhD,1,0,0
37,38043.89,1961.96,606,7.6,0.185,48,2,Mortgage,Auto,Married,High School,0,1,0
34,37913.01,30674.87,669,6.4,0.117,36,4,Rent,Education,Married,Bachelor,0,0,0
40,26917.3,19242.2,729,3.8,0.15,12,4,Mortgage,Business,Single,High School,1,1,0
67,119657.35,33567.82,666,10.7,0.31,24,3,Own,Medical,Married,Bachelor,0,0,0
21,49351.59,11626.03,765,3.0,0.396,48,3,Own,Medical,Single,High School,0,0,0
48,43808.08,3155.86,590,0.8,0.173,36,2,Mortgage,Education,Divorced,High School,1,0,0
21,30810.29,18056.37,547,9.1,0.393,12,4,Mortgage,Medical,Single,High School,0,1,1
34,212740.62,32606.18,677,,0.247,48,3,Mortgage,Business,Single,Bachelor,0,1,0
53,28662.24,25522.23,643,0.3,0.506,36,1,Mortgage,Auto,Married,Master,0,1,1
40,39560.09,8401.08,698,0.7,0.354,36,2,Mortgage,Auto,Divorced,Bachelor,0,0,0
27,60350.13,14196.24,647,4.7,0.305,60,1,Own,Medical,Married,Bachelor,0,0,0
31,66178.21,9200.51,619,4.7,0.338,12,8,Mortgage,Home Improvement,Single,Master,1,0,0
48,79139.39,7528.97,643,1.5,0.406,48,6,Rent,Home Improvement,Divorced,Bachelor,0,0,0
31,121031.27,26076.04,652,6.5,0.191,60,3,Own,Education,Married,Bachelor,0,0,0
42,63138.05,5777.51,622,7.4,0.588,12,5,Own,Medical,Single,Bachelor,0,0,1
40,28911.21,7146.15,631,12.7,0.131,60,2,Mortgage,Home Improvement,Single,High School,0,1,1
32,43110.74,6168.32,613,4.4,0.342,36,6,Own,Business,Married,Bachelor,0,0,0
65,57177.53,4707.1,727,7.6,0.353,60,3,Mortgage,Auto,Single,Master,0,1,0
47,137876.42,14801.59,667,7.0,0.416,36,4,Rent,Business,Married,High School,0,1,1
21,24369.73,30123.24,850,1.5,0.092,60,2,Rent,Medical,Single,High School,1,1,0
42,89436.87,11737.99,664,1.9,0.673,48,3,Rent,Home Improvement,Married,Bachelor,0,1,0
32,53635.0,4656.3,600,3.3,0.15,48,6,Own,Medical,Single,Master,0,1,0
50,74526.89,24051.71,850,0.1,0.383,48,4,Mortgage,Business,Married,Bachelor,0,0,0
30,46583.54,43477.17,687,1.8,0.334,36,2,Mortgage,Auto,Married,Bachelor,0,0,0
38,32169.81,8498.38,739,3.2,0.406,24,5,Rent,Debt Consolidation,Married,Master,1,0,0
46,71355.98,9556.84,703,0.6,0.251,24,4,Rent,Medical,Divorced,High School,0,0,0
50,67996.77,19167.33,706,0.7,0.085,36,7,Own,Medical,Married,High School,0,1,0
25,79700.29,41577.38,698,3.1,0.408,48,6,Mortgage,Medical,Married,Bachelor,0,0,0
35,48695.78,9284.63,550,6.6,0.268,48,4,Own,Medical,Single,High School,0,0,0
34,36318.73,5256.84,683,9.0,0.296,36,5,Rent,Auto,Single,High School,0,0,0
32,22485.06,20785.13,530,4.0,0.046,36,2,Mortgage,Auto,Single,Master,0,0,0
61,73842.27,23373.25,634,3.2,0.653,48,5,Mortgage,Business,Single,High School,0,0,0
44,60593.61,13417.19,584,2.4,0.12,24,5,Rent,Debt Consolidation,Single,Bachelor,1,0,0
24,30245.68,9039.03,682,1.1,0.153,48,3,Rent,Medical,Single,Bachelor,0,1,0
51,37448.17,26797.53,680,0.8,0.304,24,2,Mortgage,Business,Single,High School,1,2,1
65,38817.27,19334.09,693,7.8,0.35,24,5,Rent,Auto,Married,Bachelor,0,0,0
52,23353.63,7801.69,675,3.1,0.442,48,8,Mortgage,Home Improvement,Married,Bachelor,0,0,0
21,32570.39,13826.83,595,7.8,0.114,12,5,Mortgage,Education,Married,Bachelor,0,0,0
34,27808.16,5186.45,626,6.1,0.668,24,4,Mortgage,Auto,Single,High School,0,0,0
55,39885.2,21592.98,732,1.1,0.21,48,3,Rent,Auto,Married,High School,0,0,1
31,33882.41,11119.29,746,3.6,0.383,36,4,Mortgage,Home Improvement,Divorced,Bachelor,0,0,0
45,21731.05,9847.79,546,2.9,0.187,36,4,Mortgage,Home Improvement,Married,High School,1,0,0
49,134765.99,13055.8,512,2.8,0.537,60,3,Rent,Business,Married,High School,0,0,0
28,91699.33,13742.04,584,3.9,0.181,48,1,Rent,Debt Consolidation,Married,PhD,0,0,0
39,33206.15,24995.5,744,20.1,0.22,36,3,Rent,Debt Consolidation,Married,High School,0,0,1
21,56174.08,20206.58,759,8.4,0.457,36,4,Mortgage,Auto,Single,Bachelor,1,0,0
27,60399.28,11974.25,566,11.7,0.514,48,4,Rent,Home Improvement,Single,High School,0,0,0
36,88924.5,22801.18,677,0.2,0.394,12,5,Own,Auto,Single,Master,0,0,0
25,32555.37,17685.78,815,0.8,0.265,36,2,Mortgage,Debt Consolidation,Married,Bachelor,1,0,0
59,84630.79,9910.8,687,0.4,0.275,12,2,Rent,Debt Consolidation,Single,Bachelor,0,0,0
22,37273.85,12242.85,777,1.5,0.471,24,4,Rent,Medical,Married,Bachelor,0,0,0
34,25136.31,12043.06,739,2.9,0.514,36,2,Rent,Debt Consolidation,Married,Bachelor,0,0,0
41,,19028.31,568,5.1,0.149,48,7,Own,Education,Married,Master,0,1,0
57,93468.45,10332.86,632,3.5,0.063,36,3,Mortgage,Medical,Divorced,High School,0,0,0
22,178787.72,10165.08,653,11.7,0.086,36,1,Rent,Auto,Married,High School,0,0,0
53,26906.88,53004.4,659,14.1,0.49,36,2,Own,Business,Single,High School,0,0,1
40,69526.26,25791.88,732,0.9,0.256,48,5,Mortgage,Debt Consolidation,Divorced,Master,0,0,0
28,39938.63,7844.59,686,9.6,0.189,12,3,Mortgage,Medical,Divorced,High School,1,0,0
45,72524.47,19923.57,385,3.3,0.172,36,0,Mortgage,Business,Single,Bachelor,0,1,1
42,23499.99,14513.65,531,3.0,0.597,12,5,Mortgage,Business,Married,Bachelor,1,0,0
32,26071.95,17572.42,453,7.7,0.505,36,1,Own,Auto,Single,Bachelor,0,0,1
40,33258.4,14707.88,665,0.5,0.289,36,7,Mortgage,Home Improvement,Single,Bachelor,0,0,0
35,50994.96,30722.48,671,10.7,0.413,12,4,Mortgage,Business,Married,Master,0,0,0
41,35577.17,17016.42,675,5.6,0.357,36,5,Mortgage,Auto,Single,High School,0,0,0
